,Subject ID,S201,S202,S102,S101,S103
0,2,14,3,35,40,0
1,3,11,5,34,47,0
2,4,25,23,15,37,0
3,5,9,3,44,40,0
4,6,20,22,32,25,0
5,7,9,3,32,51,0
6,8,19,14,42,19,0
7,9,16,13,28,41,0
8,10,22,25,32,17,0
9,11,23,11,26,34,0
10,12,18,21,35,24,0
11,13,23,22,20,34,0
12,14,16,14,36,30,0
13,15,13,5,41,37,0
14,16,8,30,37,20,0
15,17,10,8,38,24,0
16,18,33,3,20,40,0
17,19,15,12,42,26,0
18,20,15,30,37,15,0
19,21,19,14,36,29,0
20,22,16,37,37,2,0
21,23,24,13,26,32,0
22,24,15,18,27,38,0
23,25,17,24,26,26,0
24,26,22,8,29,38,0
25,27,9,1,46,37,0
26,28,13,8,44,37,0
27,29,10,5,39,42,0
28,30,25,21,17,34,0
29,31,12,20,39,24,0
30,32,13,7,33,41,0
31,33,17,7,28,43,0
32,34,3,17,42,31,0
33,35,22,11,26,35,0
34,36,25,8,22,43,0
35,37,9,5,36,46,0
36,38,6,2,35,51,0
37,39,18,19,31,26,0
38,40,19,16,31,29,0
39,41,17,10,36,32,0
40,42,17,7,32,38,0
41,43,8,6,41,39,0
42,44,18,15,36,28,0
43,45,4,7,41,42,0
44,46,8,13,40,36,0
45,47,23,19,24,25,0
46,48,11,35,38,12,0
47,49,16,14,34,39,0
48,50,18,9,31,38,0
49,51,17,18,30,27,0
50,52,11,6,39,37,0
51,53,13,6,40,36,0
52,54,16,7,36,36,0
53,55,27,5,39,35,0
54,56,11,5,36,44,0
55,57,6,1,29,51,0
56,58,10,5,42,39,0
57,59,7,8,39,42,0
